States,DAY,MONTH,YEAR,DAY_WEEK,LATITUDE,LONGITUD,Weather,ARR_HOUR,ARR_MIN,DRUNK_DR,EMS_Arrival_Time
Alabama,20,2,2015,6,34.2806,-86.19588056,NA,22,0.0125,0,22.01
Alabama,22,2,2015,1,33.44571389,-86.73578611,Clear,19,0.002777778,0,19
Alabama,20,2,2015,6,33.53994444,-86.87020833,Clear,23,0.002222222,0,23
Alabama,16,2,2015,2,33.45167778,-86.8184,Clear,5,0.007777778,0,5.01
Alabama,10,2,2015,3,32.10455556,-86.40459167,Clear,18,0.004166667,1,18
Alabama,13,2,2015,6,31.02139444,-88.23171389,Clear,10,0.009444444,0,10.01
Alabama,23,2,2015,2,32.679275,-85.37018056,Cloudy,18,0.014166667,0,18.01
Alabama,24,2,2015,3,33.2262,-87.53260833,Cloudy,15,0.016388889,0,15.02
Alabama,7,3,2015,7,33.38663333,-86.98794167,Clear,5,0.011388889,1,5.01
Alabama,17,2,2015,3,32.4551,-86.29180833,Clear,15,0.008333333,1,15.01
Alabama,20,2,2015,6,34.71134167,-87.66776389,Snow,12,0.002222222,1,12
Alabama,24,2,2015,3,30.43372222,-87.6492,Clear,21,0.004722222,0,21
Alabama,1,3,2015,1,34.74899444,-86.79623056,Clear,3,0.005,2,3
Alabama,1,3,2015,1,33.234175,-87.63861667,Clear,10,0.008611111,1,10.01
Alabama,1,3,2015,1,33.56501111,-85.86320556,Clear,13,0.011111111,1,13.01
Alabama,1,3,2015,1,34.77878611,-86.65703889,Rain,18,0.001944444,1,18
Alabama,3,3,2015,3,34.54287222,-86.15238889,Rain,12,0.008888889,0,12.01
Alabama,3,3,2015,3,33.80393333,-87.12784444,Rain,20,0.005555556,0,20.01
Alabama,3,3,2015,3,30.74889167,-88.13165833,Clear,19,0,1,19
Alabama,5,3,2015,5,33.49488056,-86.86086944,Cloudy,18,0.008333333,0,18.01
Alabama,3,3,2015,3,30.73507222,-88.08218056,Clear,11,0.000555556,0,11
Alabama,8,3,2015,1,32.61657222,-85.37138889,Clear,19,0.005277778,0,19.01
Alabama,9,3,2015,2,33.54760278,-86.62523889,Rain,6,0.001111111,0,6
Alabama,6,3,2015,6,31.20380833,-87.31095556,Clear,20,0.012777778,0,20.01
Alabama,2,3,2015,2,32.28422222,-86.34324444,"Fog, smog, smoke",8,0.012777778,0,8.01
Alabama,6,3,2015,6,32.27369722,-86.98918611,Clear,NA,NA,1,NA
Alabama,18,2,2015,4,33.8332,-86.261,Cloudy,7,0.016388889,0,7.02
Alabama,28,2,2015,7,31.25823611,-85.43218611,Cloudy,20,0.000555556,0,20
Alabama,4,3,2015,4,33.93647222,-87.28287222,Cloudy,11,0.014722222,0,11.01
Alabama,7,3,2015,7,34.51690278,-87.65490278,Clear,4,0.004166667,1,4
Alabama,14,3,2015,7,32.35867222,-86.24773611,Rain,3,0.013888889,1,3.01
